A,B,C,D
329.5087554554403,345.2062830886412,553.3208687112966,269.367683064091
236.6831906981763,267.9545284323374,448.40022664813876,250.37223477276993
393.8353839908888,350.8713310669839,446.17098125836964,284.39165912023464
295.2853465969249,348.9583173475487,452.16483431453514,353.3758353867987
275.5893371734899,282.677222336723,425.7174949453402,356.20172729433455
376.0401165782156,365.9784169465768,413.7310132517838,155.30663342689576
370.9930940164937,432.6676088037391,462.9129622936416,364.00797022098106
274.7605413736629,347.65957302868117,385.17707500117604,281.9916365895977
308.8975420798237,326.1778193037867,503.72167825664604,295.179449257961
171.5947458171873,357.68245084760156,397.87228636915177,264.7477084501868
366.2414707019623,358.0240843722065,469.93135383649565,308.82671963527577
357.35879520441034,327.6284500160758,481.1397729389779,267.6758172678235
356.7519149406536,401.7611392911599,478.9443603746103,588.9444066981771
182.13073630999673,470.7499799291875,504.21242093847064,391.51059324117153
287.21560633002383,277.0080995671316,525.2933566227422,374.0687641475545
291.67652962204915,386.07711208452986,428.9156308928252,352.2547277498258
253.90767475846874,348.31110164123186,611.1215866048072,295.6274063291916
208.04742062629535,399.9391326752396,450.5251342996251,496.14411833865785
247.54259140616963,425.40453946822134,563.1166781112503,190.0495259992116
74.05355073818512,383.5435817023375,553.9489960104697,308.89005886858473
154.83596377580608,390.07700017497626,496.6516272795709,442.66917508946926
131.4090441255355,322.309242594184,476.1882664927135,355.81325618040927
196.03303137925022,431.60755816465803,405.79079408021613,442.15048218910835
259.90682764470023,380.36483433799947,530.5257340076454,440.6916429594959
381.7230053479604,416.2755535939127,509.77188491323574,599.8020337366884
296.0384619166893,361.59167353703987,530.1632740050501,491.8516436238855
363.5807496752595,422.9429309347336,447.08330245013707,375.32585639003275
216.66922150579563,407.2267402616348,522.8325494199992,415.99874027810915
315.82295286953007,331.271129424599,503.31091121333964,433.29715747583225
387.2920793560971,380.89413800388735,529.670548143339,523.6106419998013
297.27705960428347,340.88264684071885,469.47304154423324,603.5585308079865
339.99510318395556,321.18150126784985,408.7851963158241,580.2891071151696
376.0717195571428,351.7277426777184,411.58453200872873,428.2801368344259
366.9837436395842,336.36097060943405,461.0942350658428,532.2314355889389
343.9797113117958,375.29791825752443,429.6369934424705,553.09215165113
283.3174875533552,437.5226121612558,479.5607026377264,401.3078778132285
295.7490870377194,408.02561358191497,483.8113884617389,367.7578288200309
258.67951205029743,340.46719245832685,559.3770255255074,413.41819723791434
326.583111213517,363.8224780539403,532.7690973118074,383.18005910871045
404.45173242465216,376.7350386512597,476.55261660844,531.7096317993291
231.29139057240883,304.44855320538784,461.60832362673364,538.697566628511
157.77626492515355,376.96732159404814,642.0174306432419,488.6859023154728
176.26875275131215,356.86827313604863,517.2058398985021,511.9696268117308
43.63188225174271,320.2775304873612,590.3177331506702,388.1532895840111
181.07059294101404,421.79391417128704,536.8128485453105,385.82493342265997
114.6729525294352,371.6953205640069,517.6097436561992,419.49570468279535
179.90926401400188,317.57885868648316,502.6537247727225,252.71830399220624
237.5924108049196,359.7725288690735,502.1379954379532,325.9375761396864
331.00077001120655,283.87821339561964,497.06709927721107,382.78116849193157
311.1179618048979,325.88171788089505,555.317344350291,275.39680296049744
347.40333602197165,339.48985365788604,458.08470903065177,414.0751793488372
207.55196919005556,434.7955722116194,550.7284225333515,233.3353857831002
208.88033476950335,323.03629387504384,458.6955825944133,292.5318098733178
282.39217023256,420.7473634009689,534.3875985539727,394.92267050515153
252.00355627968352,368.54231203932306,421.104965940188,227.6618857780993
274.9318972797493,430.38816146215333,450.4953676779248,339.2927296763123
297.11558422355756,393.11854060852215,474.1154231259069,275.1796962995883
266.8188120377515,368.5010865123662,434.4377921182949,351.35079584378065
292.45146876967175,379.58858121809794,591.5811942412968,153.12664708501092
346.12198114457146,369.47584245026366,430.8296760339025,267.4563130643255
197.9890019820308,338.2429647748302,373.0532769051632,478.92785181860904
248.09831046917537,371.5359976057797,490.5365371732335,256.94688957362297
265.1149360358723,363.2492065120743,493.06494103582577,276.2685805547078
225.1063984557765,301.1471553886814,450.2959791200975,271.1688473672043
271.1487711082229,336.6918303646049,434.10800735823256,278.06599168465783
43.311244962969795,438.44755584396165,470.47954576022437,363.0811361430125
302.64766622630754,331.71303216061904,390.297160222797,489.38453766386664
107.84079519188434,356.5730186795802,406.49968720307993,411.3428790008147
188.26576463602376,269.1226063000785,453.4102998012468,582.9919340927886
225.38286292401128,356.6339060270619,531.2746872573271,527.8909449117428
153.9160662174076,342.16703225162,442.9212413060742,347.32440328918517
276.0787625563162,292.04292551193873,477.7817363810962,445.63057840599845
342.58345201025406,414.9303083951167,348.6351634269866,361.37456830233486
349.83905666133325,398.86816107364666,407.38155422707143,466.2435123625675
268.9649612444181,367.398553783682,441.07714077757504,301.9778370191976
443.39817463223613,359.2392700786281,352.78935851657667,341.86355262076324
340.3964404307229,307.34548895985336,468.29552127426444,419.3063153558823
259.121834912127,384.60235704892006,322.03374987603536,249.27824918379312
360.50804265025465,339.74131854480396,449.38682050209326,301.8591358041381
325.23008717121763,405.0666790721225,484.69625375080483,263.89332642790185
345.4880877000334,302.47949685006756,536.6321484238209,425.3315324894027
103.35165535497183,404.1506636038369,375.6306277351746,427.2056670947519
395.699451009775,329.11299888674523,483.88633321566425,397.8016028397492
323.7966012321369,405.91505935766406,507.4132164721017,211.99220928344414
330.57732626040945,387.52653929593356,477.7063330416936,454.8066297712852
297.49044539413745,356.9885242365244,450.13409622255364,343.3491648776998
364.8848257332447,436.7251983966203,557.7959301214969,364.5088563678687
358.65912244384225,359.2037384522924,467.4630025562845,298.2900430781046
265.5269868316569,369.34119809424766,376.80673235902464,417.2818181343275
297.01313787769953,406.9776193547467,460.0629526822121,319.97479825537664
212.05897003016608,398.8281416277638,448.5827765353451,215.26815430618586
180.27017233101057,343.4089362527022,422.98887607709196,388.91155534436984
134.54663193319925,406.57713943744716,382.0684087390452,389.14597492240193
151.984864185189,376.7981761797695,499.88728500055186,470.18077890198924
233.24503939673468,405.5859181167029,457.9477638452132,454.9729504155679
210.16531421879526,432.05099791804133,433.6893916176949,371.3553239336352
243.27717487452404,369.89365432110907,476.9696995295034,507.66935050848804
323.1745759795688,441.87830613267937,448.7379585674041,410.4484287934549
225.91945160156513,431.5216767074879,449.473991910386,473.68109708557597
254.27540201754763,438.6120512624295,487.5993059496966,518.8240667822865
299.0836548292171,395.0932176533637,395.7281027785992,484.44186651152603
313.08897731892364,326.7244102669502,431.5210833206754,466.6203143559157
313.45946433591405,313.75380049689505,433.02239353886347,630.8554573504758
303.05067078208697,349.34309078862645,471.3379411335861,514.6581509344726
312.90646027701683,358.0198750649598,482.2336841344292,460.3595976199763
350.8305573238223,413.0113319930745,430.5508283004535,633.1603079079918
207.30469221086716,349.41388413539255,500.52354475467433,320.8689616013334
229.63537117918264,400.3049000650831,470.6147142930244,480.83791803892404
334.69365252263583,337.33366254991245,529.4722941070423,532.2419334468436
188.00958445418019,399.84337627978533,517.6583661137221,437.7807544611845
332.78202768183286,410.75254906047417,463.5214934200445,422.2179280509819
177.60921636512506,379.80679970371614,505.01427529682564,454.90779588370117
220.60586433187015,368.82382465720514,464.9848107748139,204.67086718334158
258.75744785671543,411.7586533927914,529.7205692394531,385.9253741922293
188.43911883617864,379.97337665729356,541.3144682963966,220.10497844048757
186.59868850326066,459.2317073210201,425.9211048140566,285.05038090149304
238.68548658888358,384.2792348852093,516.0476516128197,319.42193300152786
89.49131326271052,397.1099589128096,483.5085239009543,176.34293759353324
215.6515821007711,379.3096109227641,501.02650355571126,331.10697800478977
281.693988613438,361.01519725888613,483.80164077354306,227.86976691471264
302.2811886325637,361.8598265031529,422.07516220987867,167.22589047774017
303.86446953842943,462.63254411911663,410.15723816537576,191.67986924175176
301.1914357609486,374.2292096228264,495.2485671551397,213.43431928390626
360.8276048230095,393.40323044538394,484.00647139741307,214.51026890186955
233.8392885789984,377.1843658155013,417.5381541014433,321.261838265792
360.37627823768213,372.64172327398785,446.90973818448066,396.3216607648669
306.86004525978956,430.1564604468387,455.39428663974263,100.12352862396597
316.01979923737326,365.1411382557141,451.5309078339029,167.8958749064343
366.9286909126997,372.0824065202428,426.39855993651435,266.245690546626
361.90445414530916,436.29579621132723,384.78291243967095,348.1240120432617
332.54864559994314,375.4246156499155,523.5883549279288,188.10826045482244
326.9027451158676,390.690942023976,562.355139507184,344.39810682362963
370.247163878829,396.7358610176534,506.0440178484852,152.65770731571678
442.50054514674224,412.88116193832604,493.95630686346055,217.46300579291204
372.4751742119922,388.2131624781524,580.0588898255234,316.70415529611483
